key: 0x7fff955a9473, clean_rechecks: 0
key: 0x7fff955a94c0, clean_rechecks: 0
key: 0x7fff955ab917, clean_rechecks: 0
key: 0x7fff955a99fd, clean_rechecks: 0
key: 0x7fff955a97e6, clean_rechecks: 0
key: 0x7fff955ab662, clean_rechecks: 0
key: 0x7fff955a9f49, clean_rechecks: 0
key: 0x7fff955aa3c6, clean_rechecks: 0
key: 0x7fff955a94c4, clean_rechecks: 0
key: 0x7fff955a9daa, clean_rechecks: 0
key: 0x7fff955a94ab, clean_rechecks: 0
key: 0x7fff955a968c, clean_rechecks: 0
key: 0x7fff955a94c8, clean_rechecks: 0
key: 0x7fff955a948b, clean_rechecks: 0
key: 0x7fff955ab2c3, clean_rechecks: 0
key: 0x7fff955aa1d2, clean_rechecks: 0
key: 0x7fff955a94cc, clean_rechecks: 0
key: 0x7fff955aaf73, clean_rechecks: 0
key: 0x7fff955ab2e1, clean_rechecks: 0
key: 0x7fff955ab4ff, clean_rechecks: 0
key: 0x7fff955a94d0, clean_rechecks: 0
key: 0x7fff955a94d4, clean_rechecks: 0
key: 0x7fff955a94d8, clean_rechecks: 0
key: 0x7fff955aa97a, clean_rechecks: 0
key: 0x7fff955a965c, clean_rechecks: 0
key: 0x7fff955aae69, clean_rechecks: 0
key: 0x7fff955a94dc, clean_rechecks: 0
key: 0x7fff955a94e0, clean_rechecks: 0
key: 0x7fff955a94e4, clean_rechecks: 0
clean_rechecks: 0, total checks: 66, percentage repeated: 0.000000
